               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10005,            0.038499,            0.043487,             0.34881,                   0,                   0,                   0,                   0,            0.093763,             0.03541,            0.042779,             0.33621,             0.00331,             0.00331,             0.07021
                   1,             0.09338,            0.041425,            0.041807,             0.32841,                   0,                   0,                   0,                   0,            0.090147,            0.035822,            0.041022,             0.32002,           0.0066299,           0.0066299,             0.04033
                   2,            0.091958,             0.03855,            0.039552,             0.30493,             0.52177,            0.072415,           0.0030079,          0.00047984,            0.092419,            0.034314,            0.039736,             0.27326,           0.0099491,           0.0099491,            0.010449
                   3,            0.097113,            0.034755,            0.037493,             0.25553,             0.26053,            0.027672,           0.0041118,          0.00082012,            0.093319,            0.032166,            0.037818,             0.22966,            0.009998,            0.009998,            0.009998
                   4,             0.09748,            0.032913,            0.036657,              0.2163,              0.5176,            0.044563,           0.0056589,           0.0010254,            0.090341,            0.030704,            0.037011,             0.20325,            0.009998,            0.009998,            0.009998
                   5,            0.091654,            0.033681,            0.035937,              0.2045,             0.27117,             0.02478,           0.0072943,           0.0013053,            0.089848,            0.030461,            0.032675,             0.20673,           0.0099965,           0.0099965,           0.0099965
                   6,            0.089293,            0.034575,            0.034539,             0.20158,             0.26387,            0.072861,            0.010955,           0.0019161,            0.088787,            0.041812,            0.032707,             0.19577,           0.0099945,           0.0099945,           0.0099945
                   7,             0.08764,            0.034431,            0.032507,             0.19852,            0.040104,             0.19661,            0.016287,           0.0027855,            0.084265,            0.029933,              0.0287,             0.19455,           0.0099921,           0.0099921,           0.0099921
                   8,             0.08553,            0.035487,            0.031125,             0.19613,            0.036336,             0.17718,            0.014331,           0.0024246,            0.079408,            0.029569,            0.027161,             0.19521,           0.0099893,           0.0099893,           0.0099893
                   9,            0.083975,            0.034667,            0.030485,             0.19611,            0.035703,              0.1572,             0.02266,           0.0044031,            0.079717,            0.029163,            0.028154,             0.19611,            0.009986,            0.009986,            0.009986
                  10,            0.082927,            0.034249,            0.029366,             0.19443,            0.048538,             0.23583,            0.033892,           0.0064688,            0.076947,            0.030096,            0.026382,             0.19684,           0.0099822,           0.0099822,           0.0099822
                  11,            0.081379,            0.032691,            0.028318,             0.19333,             0.35286,             0.14706,            0.049478,           0.0096712,            0.078831,            0.027402,            0.025404,             0.19471,           0.0099781,           0.0099781,           0.0099781
                  12,             0.08226,            0.033176,            0.027432,             0.19291,             0.56018,             0.13725,            0.070787,            0.012261,            0.078907,            0.027504,            0.024509,             0.19365,           0.0099735,           0.0099735,           0.0099735
                  13,            0.080155,            0.032425,            0.027435,             0.19316,             0.40251,             0.17761,            0.092855,            0.020839,            0.075702,            0.028097,            0.024094,             0.19156,           0.0099685,           0.0099685,           0.0099685
                  14,            0.081372,             0.03334,            0.027254,             0.19237,             0.91645,            0.088235,             0.11675,            0.031039,            0.073117,            0.028409,            0.023682,             0.19125,            0.009963,            0.009963,            0.009963
                  15,            0.078862,            0.034286,            0.026676,             0.19189,             0.45544,             0.17045,             0.11386,            0.027514,            0.072276,            0.027854,            0.023503,              0.1909,           0.0099571,           0.0099571,           0.0099571
                  16,            0.078776,            0.032513,            0.027138,             0.19186,             0.68757,             0.13681,             0.13075,            0.033252,            0.074987,            0.028068,            0.022743,             0.19071,           0.0099508,           0.0099508,           0.0099508
                  17,             0.07907,            0.032873,            0.026115,             0.19122,             0.10189,             0.21457,            0.077139,            0.017264,            0.073298,            0.028846,            0.023223,             0.18934,            0.009944,            0.009944,            0.009944
                  18,            0.078022,            0.033961,            0.026193,             0.19005,             0.13617,             0.22438,             0.10893,             0.02213,            0.073115,            0.028726,            0.022893,             0.18828,           0.0099368,           0.0099368,           0.0099368
