               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10016,            0.038435,            0.043525,             0.34898,                   0,                   0,                   0,                   0,            0.094371,            0.035013,             0.04267,              0.3375,             0.00331,             0.00331,             0.07021
                   1,            0.093269,            0.041426,            0.041862,             0.32832,                   0,                   0,                   0,                   0,            0.089588,            0.036086,             0.04086,             0.32004,           0.0066299,           0.0066299,             0.04033
                   2,            0.091796,            0.038628,            0.039709,              0.3054,             0.50255,            0.034314,           0.0013761,          0.00034308,            0.091409,            0.033004,            0.038039,             0.28205,           0.0099497,           0.0099497,             0.01045
